state,state_name_count,feed_date
Tennessee,0,2024-08-20
Texas,0,2024-08-20
Utah,0,2024-08-20
Vermont,0,2024-08-20
Virginia,0,2024-08-20
Washington,14,2024-08-20
West Virginia,0,2024-08-20
Wisconsin,0,2024-08-20
Wyoming,0,2024-08-20
DC,4,2024-08-20
Alabama,0,2024-08-22
Alaska,0,2024-08-22
Arizona,1,2024-08-22
Arkansas,0,2024-08-22
California,0,2024-08-22
Colorado,0,2024-08-22
Connecticut,0,2024-08-22
Delaware,0,2024-08-22
Florida,0,2024-08-22
Georgia,0,2024-08-22
Hawaii,0,2024-08-22
Idaho,0,2024-08-22
Illinois,2,2024-08-22
Indiana,0,2024-08-22
Iowa,0,2024-08-22
Kansas,0,2024-08-22
Kentucky,0,2024-08-22
Louisiana,0,2024-08-22
Maine,0,2024-08-22
Maryland,0,2024-08-22
Massachusetts,0,2024-08-22
Michigan,16,2024-08-22
Minnesota,0,2024-08-22
Mississippi,0,2024-08-22
Missouri,0,2024-08-22
Montana,0,2024-08-22
Nebraska,2,2024-08-22
Nevada,0,2024-08-22
New Hampshire,0,2024-08-22
New Jersey,0,2024-08-22
New Mexico,0,2024-08-22
New York,1,2024-08-22
North Carolina,4,2024-08-22
North Dakota,0,2024-08-22
Ohio,0,2024-08-22
Oklahoma,0,2024-08-22
Oregon,0,2024-08-22
Pennsylvania,1,2024-08-22
Rhode Island,0,2024-08-22
South Carolina,0,2024-08-22
South Dakota,0,2024-08-22
Tennessee,0,2024-08-22
Texas,1,2024-08-22
Utah,0,2024-08-22
Vermont,0,2024-08-22
Virginia,3,2024-08-22
Washington,3,2024-08-22
West Virginia,3,2024-08-22
Wisconsin,0,2024-08-22
Wyoming,0,2024-08-22
DC,0,2024-08-22
Alabama,0,2024-08-23
Alaska,0,2024-08-23
Arizona,0,2024-08-23
Arkansas,0,2024-08-23
California,3,2024-08-23
Colorado,3,2024-08-23
Connecticut,0,2024-08-23
Delaware,0,2024-08-23
Florida,0,2024-08-23
Georgia,0,2024-08-23
Hawaii,0,2024-08-23
Idaho,0,2024-08-23
Illinois,0,2024-08-23
Indiana,0,2024-08-23
Iowa,0,2024-08-23
Kansas,1,2024-08-23
Kentucky,0,2024-08-23
Louisiana,0,2024-08-23
Maine,0,2024-08-23
