date,sentiment,relevance,source.uri,source.title
2024-08-08,0.0667,13,wfin.com,WFIN
2024-08-08,0.0902,1,wfin.com,WFIN
2024-08-08,0.0196,1,wfin.com,WFIN
2024-08-08,-0.0824,1,mediaite.com,Mediaite
2024-08-08,-0.0118,1,truthout.org,Truthout
2024-08-08,0.0824,1,cincinnati.com,Cincinnati
2024-08-08,-0.1059,1,rawstory.com,Raw Story
2024-08-08,-0.0667,1,thewestsidegazette.com,The Westside Gazette
2024-08-08,0.1843,1,bizpacreview.com,Conservative News Today
2024-08-08,0.302,1,hollywoodlife.com,Hollywood Life
2024-08-08,-0.3176,1,firstpost.com,Firstpost
2024-08-08,0.0824,1,benzinga.com,Benzinga
2024-08-08,-0.2941,1,ca.news.yahoo.com,Yahoo
2024-08-08,0.0196,1,foxnews.com,Fox News
2024-08-08,-0.1451,1,independent.co.uk,The Independent
2024-08-08,0.0902,1,washingtonexaminer.com,Washington Examiner
2024-08-08,0.1059,1,ammoland.com,AmmoLand.com
2024-08-08,-0.1216,1,newsobserver.com,The News&Observer
2024-08-08,0.1686,1,foxnews.com,Fox News
2024-08-08,-0.1216,1,bnd.com,Belleville News-Democrat
2024-08-08,0.0196,1,benzinga.com,Benzinga
2024-08-08,-0.1216,1,thestate.com,The State
2024-08-08,0.2314,1,breitbart.com,Breitbart
2024-08-08,-0.1216,1,kansas.com,The Wichita Eagle
2024-08-08,-0.1216,1,theolympian.com,The  Olympian
2024-08-08,-0.1216,1,miamiherald.com,Miami Herald
2024-08-08,-0.1216,1,islandpacket.com,The Island Packet
2024-08-08,-0.1216,1,charlotteobserver.com,The Charlotte Observer
2024-08-08,-0.1216,1,kentucky.com,Lexington Herald Leader
2024-08-08,-0.1216,1,sunherald.com,Sun Herald
2024-08-08,-0.1216,1,sanluisobispo.com,The Tribune
2024-08-08,-0.1216,1,heraldonline.com,The Herald
2024-08-08,0.0588,1,finance.yahoo.com,Yahoo! Finance
2024-08-08,0.1137,1,forbes.com,Forbes
2024-08-08,-0.1216,1,fresnobee.com,The Fresno Bee
2024-08-08,-0.1216,1,star-telegram.com,Fort Worth Star-Telegram
2024-08-08,-0.1216,1,kansascity.com,The Kansas City Star
2024-08-08,-0.2157,1,dailymail.co.uk,Daily Mail Online
2024-08-08,0.0902,1,joblo.com,JoBlo's Movie Emporium
2024-08-08,0.1529,1,aljazeera.com,Al Jazeera Online
2024-08-08,-0.2706,1,newsweek.com,Newsweek
2024-08-08,0.3804,1,watermarkonline.com,Watermark Online
2024-08-08,0.1922,13,dnyuz.com,DNyuz
2024-08-08,0.0039,13,foxnews.com,Fox News
2024-08-08,0.1137,1,checkyourfact.com,Check Your Fact
2024-08-08,0.098,1,dnyuz.com,DNyuz
2024-08-08,0.0275,1,foxnews.com,Fox News
2024-08-08,0.4667,13,marketscreener.com,Market Screener
2024-08-08,0.2627,1,cointelegraph.com,Cointelegraph
2024-08-08,0.5059,13,wallstreet-online.de,wallstreet:online
2024-08-08,-0.0039,1,vinnews.com,vinnews.com
2024-08-08,0.0196,1,finance.yahoo.com,Yahoo! Finance
2024-08-08,0.2941,1,marketscreener.com,Market Screener
2024-08-08,0.1686,1,wallstreet-online.de,wallstreet:online
2024-08-08,0.0824,1,christianpost.com,The Christian Post
2024-08-08,0.2078,1,internewscast.com,Internewscast Journal
2024-08-08,0.098,1,democraticunderground.com,Democratic Underground
2024-08-08,0.1529,1,ca.news.yahoo.com,Yahoo
2024-08-08,0.1686,13,newsweek.com,Newsweek
2024-08-08,0.2627,1,bnd.com,Belleville News-Democrat
2024-08-08,-0.2784,1,fcnp.com,Falls Church News-Press Online
2024-08-08,0.3804,1,mediaite.com,Mediaite
2024-08-08,0.2941,1,benzinga.com,Benzinga
2024-08-08,0.2627,1,kansas.com,The Wichita Eagle
2024-08-08,0.2627,1,miamiherald.com,Miami Herald
2024-08-08,0.0667,1,triblive.com,TribLIVE
2024-08-08,0.2627,1,kentucky.com,Lexington Herald Leader
2024-08-08,0.2627,1,bradenton.com,Bradenton Herald
2024-08-08,0.2627,1,charlotteobserver.com,The Charlotte Observer
2024-08-08,0.2627,1,heraldonline.com,The Herald
2024-08-08,0.2,1,catholicherald.co.uk,Catholic Herald
2024-08-09,-0.1294,1,chinanews.net,China News
2024-08-09,-0.051,1,barbadosnews.net,Barbados News
2024-08-09,0.4196,1,exbulletin.com,ExBulletin
2024-08-09,-0.2471,1,europesun.com,europesun.com
2024-08-09,-0.0824,1,europesun.com,europesun.com
2024-08-09,0.2392,1,playboy.com,Playboy
2024-08-09,0.0275,1,rawstory.com,Raw Story
2024-08-09,0.0039,1,fox61.com,fox61.com
2024-08-09,-0.2471,1,cambodiantimes.com,Cambodian Times
2024-08-09,0.302,1,uk.investing.com,Investing.com UK
2024-08-09,-0.2471,1,northernirelandnews.com,Northern Ireland News
2024-08-09,0.302,1,investing.com,Investing.com
2024-08-09,-0.051,1,irishsun.com,Irish Sun
2024-08-09,-0.1294,1,irishsun.com,Irish Sun
2024-08-09,-0.0824,1,polandsun.com,Poland Sun
2024-08-09,-0.2471,1,polandsun.com,Poland Sun
2024-08-09,-0.1373,1,internewscast.com,Internewscast Journal
2024-08-09,-0.3098,1,usatoday.com,USA Today
2024-08-09,0.0588,1,exbulletin.com,ExBulletin
2024-08-09,-0.0824,1,kenyastar.com,Kenya Star
2024-08-09,-0.2471,1,kenyastar.com,Kenya Star
2024-08-09,0.0431,1,firstcoastnews.com,WTLV 12 - Jacksonville
2024-08-09,0.1216,1,conservativeangle.com,Brigitte Gabriel
2024-08-09,-0.1843,1,rt.com,RT
2024-08-09,-0.0588,1,gvwire.com,GV Wire
2024-08-09,-0.1922,1,nybreaking.com,NY Breaking News
2024-08-09,0.2784,1,thenewamerican.com,The New American
2024-08-09,-0.1686,1,dailymail.co.uk,Daily Mail Online
2024-08-09,0.2471,1,newsghana.com.gh,News Ghana
2024-08-09,0.0824,1,wltx.com,WLTX News 19 Columbia
2024-08-09,0.0824,1,cbs8.com,cbs8.com
2024-08-09,0.0824,1,ktvb.com,ktvb.com
2024-08-09,0.0824,1,whas11.com,whas11.com
2024-08-09,0.1216,1,newsbusters.org,https://newsbusters.org/
2024-08-09,0.1765,1,gazette.com,Colorado Springs Gazette
2024-08-09,0.0824,1,11alive.com,WXIA-TV 11
2024-08-09,0.0824,1,9news.com,KUSA.com
2024-08-09,0.0039,1,13wmaz.com,WMAZ
2024-08-09,0.0275,1,birminghamtimes.com,The Birmingham Times
2024-08-09,-0.1451,1,theminnesotasun.com,The Minnesota Sun
2024-08-09,-0.0039,1,nytimes.com,The New York Times
2024-08-09,-0.2078,1,polandsun.com,Poland Sun
2024-08-09,0.0118,1,econotimes.com,EconoTimes
2024-08-09,0.2784,1,washingtontimes.com,Washington Times
2024-08-09,0.0039,1,ommcomnews.com,Ommcom News
2024-08-09,-0.2078,1,europesun.com,europesun.com
2024-08-09,0.0039,1,mangalorean.com,Mangalorean.com
2024-08-09,0.302,1,conservativeangle.com,Brigitte Gabriel
2024-08-09,0.2235,1,benzinga.com,Benzinga
2024-08-09,0.2078,13,chinadaily.com.cn,China Daily
2024-08-09,0.0039,1,thestatesman.com,The Statesman
2024-08-09,0.0667,1,news.abplive.com,english
2024-08-09,-0.0275,1,ofb.biz,Open for Business
2024-08-09,0.0039,1,siasat.com,The Siasat Daily
2024-08-09,0.302,1,zerohedge.com,Zero Hedge
2024-08-09,0.2078,1,twincities.com,Twin Cities
2024-08-09,-0.1137,1,aol.com,Aol
2024-08-09,-0.2078,1,northkoreatimes.com,North Korea Times
2024-08-09,-0.2078,1,mexicostar.com,Mexico Star
