timestamp,currency,name,cost,organization_id,project_id,project_name,organization_name,cost_in_major,date
1722902400.0,usd,GPT-4 Turbo,314.654,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,3.14654000,2024-08-06
1722988800.0,usd,GPT-4 Turbo,115.215,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,1.15215000,2024-08-07
1723075200.0,usd,GPT-4 Turbo,1894.713,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,18.94713000,2024-08-08
1723161600.0,usd,GPT-4 Turbo,2556.689,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,25.56689000,2024-08-09
1723248000.0,usd,GPT-4o mini,71.126595,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,0.71126595,2024-08-10
1723248000.0,usd,GPT-4 Turbo,3277.286,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,32.77286000,2024-08-10
1723334400.0,usd,GPT-4o mini,294.462915,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,2.94462915,2024-08-11
1723334400.0,usd,GPT-4 Turbo,909.099,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,9.09099000,2024-08-11
1723593600.0,usd,GPT-4o mini,442.67139,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,4.42671390,2024-08-14
1723593600.0,usd,GPT-4 Turbo,1235.619,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,12.35619000,2024-08-14
1723593600.0,usd,GPT-3.5 Turbo,2.25925,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,0.02259250,2024-08-14
1723680000.0,usd,GPT-4o mini,195.455325,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,1.95455325,2024-08-15
1723680000.0,usd,GPT-4 Turbo,307.451,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,3.07451000,2024-08-15
1723680000.0,usd,GPT-3.5 Turbo,15.2536,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,0.15253600,2024-08-15
1723766400.0,usd,GPT-4o mini,666.83046,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,6.66830460,2024-08-16
1723766400.0,usd,GPT-3.5 Turbo,90.07495,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,0.90074950,2024-08-16
1723852800.0,usd,GPT-4o mini,258.64542,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,2.58645420,2024-08-17
1723852800.0,usd,GPT-3.5 Turbo,30.863,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,0.30863000,2024-08-17
1723939200.0,usd,GPT-4o mini,206.48004,org-UnkNAXSFjByrON8hgvdjarxx,,Default Project,Personal,2.06480040,2024-08-18
